conta_contabil;uniorcam_inicial;uniorcam_final;conferencia;regra
6.2.2.1.3.03;0;9999;saldo;testCreditoLiquidadoAPagarContabilizado
6.2.2.1.3.04;0;9999;saldo;testCreditoLiquidadoPagoContabilizado
6.2.2.9.2.01.01;0;9999;saldo;testEmpenhosALiquidarContabilizado
6.2.2.9.2.01.03;0;9999;saldo;testEmpenhoLiquidadoAPagarContabilizado
6.2.2.9.2.01.04;0;9999;saldo;testEmpenhosPagosContabilizado
8.2.1.1.1;0;9999;saldo;testRecursosDisponiveis
8.2.1.1.2;0;9999;saldo;testRecursosComprometidosPorEmpenhoALiquidar
8.2.1.1.3;0;9999;saldo;testRecursosComprometidosPorLiquidacaoEExtrasAPagar
8.5.3.1.0.01;0;9999;saldo;testValoresTransferidosPorContratoDeRateioUpaSantaRosa
8.5.3.1.0.02;0;9999;saldo;testValoresTransferidosPorContratoDeRateioSamuSantaRosa
8.5.3.1.0.03;0;9999;saldo;testValoresTransferidosPorContratoDeRateioMensalidadeCofron
2.1.1.4.2.01.02;0;9999;saldo;testSaldoFinalDeContribuicaoAoRppsIgualAoSaldoLiquidadoAPagar
2.1.1.4.3.01.01.02;0;9999;saldo;testSaldoFinalDeContribuicaoAoRgpsIgualAoSaldoLiquidadoAPagar
2.1.1.4.3.01.03.02;0;9999;saldo;testSaldoFinalDeContribuicaoAoRgpsIgualAoSaldoLiquidadoAPagar
2.1.1.4.3.05.02;0;9999;saldo;testSaldoFinalDeContribuicaoAoFgtsIgualAoSaldoLiquidadoAPagar
5.3.1.1;0;9999;saldo;testRestosAPagarNaoProcessadosInscritosNoExercicio
5.3.2.1;0;9999;saldo;testRestosAPagarProcessadosInscritosNoExercicio
5.3.1;0;9999;saldo;testRestosAPagarNaoProcessadosInscritos
5.3.2;0;9999;saldo;testRestosAPagarProcessadosInscritos
5.3.1.7;0;9999;saldo;testRestosAPagarNaoProcessadosInscricaoNoExercicioIgualAZero
5.3.2.7;0;9999;saldo;testRestosAPagarProcessadosInscricaoNoExercicioIgualAZero
5.3.1.7;0;9999;saldo;testRestosAPagarNaoProcessadosInscricaoNoExercicioIgualEmpenhadoNaoLiquidado
5.3.2.7;0;9999;saldo;testRestosAPagarProcessadosInscricaoNoExercicioIgualLiquidadoNaoPago
6.3.1.1;0;9999;saldo;testRestosAPagarNaoProcessadosALiquidar
6.3.1.3;0;9999;saldo;testRestosAPagarNaoProcessadosAPagar
6.3.1.4;0;9999;saldo;testRestosAPagarNaoProcessadosPagos
6.3.1.7.1;0;9999;saldo;testRestosAPagarNaoProcessadosALiquidarInscricaoNoExercicioIgualAZero
6.3.1.7.1;0;9999;saldo;testRestosAPagarNaoProcessadosALiquidarInscricaoNoExercicioIgualEmpenhadoNaoLiquidado
6.3.1.9;0;9999;saldo;testRestosAPagarNaoProcessadosCancelados
6.3.2.1;0;9999;saldo;testRestosAPagarProcessadosAPagar
6.3.2.2;0;9999;saldo;testRestosAPagarProcessadosPagos
6.3.2.9;0;9999;saldo;testRestosAPagarProcessadosCancelados
6.3.2.7;0;9999;saldo;testRestosAPagarProcessadosALiquidarInscricaoNoExercicioIgualAZero
6.3.2.7;0;9999;saldo;testRestosAPagarProcessadosALiquidarInscricaoNoExercicioIgualEmpenhadoNaoLiquidado
5.2.1.1.1;0;9999;saldo;testPrevisaoInicialDaReceitaBrutaContabilizada
5.2.1.1.2.01.01;0;9999;saldo;testPrevisaoDasDeducoesDaReceitaParaFundebContabilizada
5.2.1.1.2.99;0;9999;saldo;testPrevisaoDasOutrasDeducoesDaReceitaContabilizada
5.2.1.2.1.01;0;9999;saldo;testReestimativaDaReceitaContabilizada
5.2.2.1.3.02;0;9999;saldo;testCreditoAbertoPorExcessoDeArrecadacao
6.2.1.1;0;9999;saldo;testSaldoDaReceitaARealizar
6.2.1.2;0;9999;saldo;testReceitaBrutaArrecadadaContabilizada
6.2.1.3.1.01;0;9999;saldo;testDeducaoDaReceitaParaOFundebArrecadadaContabilizada
6.2.1.3.2;0;9999;saldo;testDeducaoDaReceitaPorRenunciaArrecadadaContabilizada
6.2.1.3.9;0;9999;saldo;testOutrasDeducaoDaReceitaArrecadadaContabilizada
5.2.1;0;9999;saldo;testFechamentoDosNiveisDasContasOrcamentariasDeReceita
6.2.1;0;9999;saldo;testFechamentoDosNiveisDasContasOrcamentariasDeReceita
1.1.2.1.2.71.01;0;9999;saldo;testParcelamentoDaDividaPrevidenciariaNoCurtoPrazo
2.1.1.4.2.01.01;0;9999;saldo;testParcelamentoDaDividaPrevidenciariaNoCurtoPrazo
1.2.1.1.2.06.04.01;0;9999;saldo;testParcelamentoDaDividaPrevidenciariaNoLongoPrazo
2.2.1.4.2.01;0;9999;saldo;testParcelamentoDaDividaPrevidenciariaNoLongoPrazo
1.1.3.8.2.99.01;0;9999;saldo;testDuodecimoAReceberEAPagar
2.1.8.9.2.02;0;9999;saldo;testDuodecimoAReceberEAPagar
1.1.3.6.2.01.01.01;0;9999;saldo;testContribuicaoPatronalNormalAReceber
1.1.3.6.2.01.01.02;0;9999;saldo;testContribuicaoPatronalSuplementarAReceber
1.1.3.6.2.01.02;0;9999;saldo;testContribuicaoDoServidorAReceber
2.1.8.8.2.01.01.01;0;9999;saldo;testContribuicaoDoServidorAReceber
3.1.2.1.2.01;0;9999;saldo;testContribuicaoPatronalNormalEmContasDeResultado
4.2.1.1.2.01;0;9999;saldo;testContribuicaoPatronalNormalEmContasDeResultado
3.1.2.1.2.99;0;9999;saldo;testContribuicaoPatronalSuplementarEmContasDeResultado
4.2.1.1.2.03;0;9999;saldo;testContribuicaoPatronalSuplementarEmContasDeResultado
3.4.3.9.2.01;0;9999;saldo;testAtualizacaoDoSaldoDaDividaPrevidenciariaEmContasDeResultado
4.4.3.9.2.01;0;9999;saldo;testAtualizacaoDoSaldoDaDividaPrevidenciariaEmContasDeResultado
3.5.1.1.2.02;0;9999;saldo;testDuodecimoEmContasDeResultado
4.5.1.1.2.02;0;9999;saldo;testDuodecimoEmContasDeResultado
3.6.5.1.2.03;0;9999;saldo;testContrapartidaDoDuodecimoAReceberATransferirEmContasDeResultado
4.6.4.1.2.03;0;9999;saldo;testContrapartidaDoDuodecimoAReceberATransferirEmContasDeResultado
3.9.9.9.2.01;0;9999;saldo;testContrapartidaDaInscricaoDoDuodecimoAReceberATransferirEmContasDeResultado
4.9.9.9.2.01;0;9999;saldo;testContrapartidaDaInscricaoDoDuodecimoAReceberATransferirEmContasDeResultado
