conta_contabil;uniorcam_inicial;uniorcam_final;conferencia;regra
6.3.1.9;1201;1299;saldo;testRestosAPagarNaoProcessadosCancelados
6.3.2.1;1201;1299;saldo;testRestosAPagarProcessadosAPagar
6.3.2.2;1201;1299;saldo;testRestosAPagarProcessadosPagos
6.3.2.9;1201;1299;saldo;testRestosAPagarProcessadosCancelados
6.3.2.7;1201;1299;saldo;testRestosAPagarProcessadosALiquidarInscricaoNoExercicioIgualAZero
6.3.2.7;1201;1299;saldo;testRestosAPagarProcessadosALiquidarInscricaoNoExercicioIgualEmpenhadoNaoLiquidado
5.2.1.1.1;1201;1299;saldo;testPrevisaoInicialDaReceitaBrutaContabilizada
5.2.1.1.2.01.01;1201;1299;saldo;testPrevisaoDasDeducoesDaReceitaParaFundebContabilizada
5.2.1.1.2.99;1201;1299;saldo;testPrevisaoDasOutrasDeducoesDaReceitaContabilizada
5.2.1.2.1.01;1201;1299;saldo;testReestimativaDaReceitaContabilizada
5.2.2.1.3.02;1201;1299;saldo;testCreditoAbertoPorExcessoDeArrecadacao
6.2.1.1;1201;1299;saldo;testSaldoDaReceitaARealizar
6.2.1.2;1201;1299;saldo;testReceitaBrutaArrecadadaContabilizada
6.2.1.3.1.01;1201;1299;saldo;testDeducaoDaReceitaParaOFundebArrecadadaContabilizada
6.2.1.3.2;1201;1299;saldo;testDeducaoDaReceitaPorRenunciaArrecadadaContabilizada
6.2.1.3.9;1201;1299;saldo;testOutrasDeducaoDaReceitaArrecadadaContabilizada
5.2.1;1201;1299;saldo;testFechamentoDosNiveisDasContasOrcamentariasDeReceita
6.2.1;1201;1299;saldo;testFechamentoDosNiveisDasContasOrcamentariasDeReceita
